concept_id,label,frequency
null,null,22
text_null,text null,18
service,service,17
user,user,17
uuid,uuid,17
merchant,merchant,16
primary_key,primary key,16
supabase,supabase,14
review,review,14
timestamptz,timestamptz,12
default,default,12
request,request,11
role,role,11
admin,admin,10
student,student,9
column_type_description,column type description,9
appuserid,appuserid,9
default_genrandomuuid,default genrandomuuid,9
column,column,9
application,application,8
platform,platform,8
database,database,8
foreign_key,foreign keys,8
optional,optional,8
createdat,createdat,8
index,index,8
postgresql,postgresql,7
schema,schema,7
clerk,clerk,7
query,query,7
operation,operation,7
serviceid,serviceid,7
text,text,7
row_level_security,row level security,6
superadmin,superadmin,6
client,client,6
policy,policy,6
merchant_record,merchant record,6
status,status,6
database_level,database level,5
datum,datum,5
rls,rls,4
relationship,relationship,4
rls_policy,rls policy,4
appuser,appuser,4
merchantid,merchantid,4
none,none,4
standard_null,standard null,4
require_field_relationship,require field relationship,4
unique,unique,4
fk_appusersid,fk appusersid,4
unique_constraint,unique constraint,4
delete_cascade,delete cascade,4
key,key,4
rest,rest,3
authentication,authentication,3
role_base_access,role base access,3
user_role,user role,3
appusersid,appusersid,3
appuser_record,appuser record,3
specific_service,specific service,3
approvedbyappuserid,approvedbyappuserid,3
category,category,3
constraint,constraint,3
actor,actor,3
action,action,3
update,update,3
email,email,3
name,name,3
valid_user,valid user,3
merchant_ad,merchant ad,3
filter_query,filter query,3
indexing,indexing,3
access,access,3
21_client_supabase_api,21 client supabase api,2
22_use,22 use,2
23_role_base_access,23 role base access,2
32_profile,32 profile,2
38_contactmessage,38 contactmessage,2
43_merchant,43 merchant,2
44_ad,44 ad,2
46_place,46 place,2
48_contactmessage,48 contactmessage,2
62_foreign_key_index,62 foreign key indexes,2
supabase_specific,supabase specific,2
backup_security_consideration,backup security considerations,2
sql_injection_protection,sql injection protection,2
auto_generate_rest_api,auto generate rest api,2
foreign_key_constraint,foreign key constraint,2
caller,caller,2
postgrest,postgrest,2
websocket,websocket,2
polling,polling,2
postgresql_database,postgresql database,2
endpoint,endpoint,2
public_content,public content,2
record,record,2
password,password,2
phone,phone,2
constraint_appuserid,constraints appuserid,2
strict_relationship,strict relationship,2
belong,belong,2
durationday,durationday,2
timestamp_primary_key,timestamp primary key,2
place_record,place record,2
physical_place,physical place,2
placeid,placeid,2
placesid,placesid,2
none_constraint,none constraints,2
comment,comment,2
rejection_reason,rejection reason,2
actorappuserid,actorappuserid,2
placeid_uuid,placeid uuid,2
fk_placesid,fk placesid,2
description,description,2
approvedat,approvedat,2
updatedat,updatedat,2
message,message,2
detail,detail,2
profilesappuserid,profilesappuserid,2
profile_record,profile record,2
profile,profile,2
nullable_foreign_key,nullable foreign key,2
delete_set_null,delete set null,2
adsplaceid,adsplaceid,2
ad_record,ad record,2
admin_user,admin user,2
event_trail,event trail,2
insert,insert,2
meaning,meaning,2
cascade_review,cascade reviews,2
row,row,2
clause,clause,2
specific_user,specific user,2
user_lookup,user lookup,2
lookup,lookup,2
active_ad,active ad,2
pende_ad,pende ad,2
foreign_ad,foreign ad,2
fetch_review,fetch review,2
user_id,user id,2
value,value,2
write_access,write access,2
audit_log,audit log,2
layer,layer,2
ad_table,ad table,2
rls_evaluation,rls evaluation,2
