source,target,relation,weight
platform,user,co_occurs_with,16
service,user,co_occurs_with,14
review,user,co_occurs_with,12
button,user,co_occurs_with,11
platform,student,co_occurs_with,10
review,student,co_occurs_with,10
student,user,co_occurs_with,10
hero_section,user,co_occurs_with,10
logo,user,co_occurs_with,10
platform,review,co_occurs_with,9
platform,service,co_occurs_with,9
card,user,co_occurs_with,9
logo,theme_toggle,co_occurs_with,9
header,user,co_occurs_with,9
review,service,co_occurs_with,8
card,review,co_occurs_with,8
logo,profile_button,co_occurs_with,8
profile_button,theme_toggle,co_occurs_with,8
profile_button,user,co_occurs_with,8
theme_toggle,user,co_occurs_with,8
quick_link,user,co_occurs_with,8
right_corner,user,co_occurs_with,8
left_corner,logo,co_occurs_with,8
merchant,student,co_occurs_with,7
merchant,user,co_occurs_with,7
accessibility,user,co_occurs_with,7
accommodation,food,co_occurs_with,7
food,platform,co_occurs_with,7
home_page,user,co_occurs_with,7
unieasy,user,co_occurs_with,7
button,card,co_occurs_with,7
home,user,co_occurs_with,7
left_corner,user,co_occurs_with,7
bottom,user,co_occurs_with,7
admin,review,co_occurs_with,6
authentication,platform,co_occurs_with,6
authentication,user,co_occurs_with,6
merchant,platform,co_occurs_with,6
merchant,service,co_occurs_with,6
top,user,co_occurs_with,6
column_type_description,primary_key,co_occurs_with,6
role,user,co_occurs_with,6
accommodation,platform,co_occurs_with,6
accommodation,user,co_occurs_with,6
card,logo,co_occurs_with,6
card,platform,co_occurs_with,6
hero_section,platform,co_occurs_with,6
home_page,logo,co_occurs_with,6
home_page,theme_toggle,co_occurs_with,6
landing_page,user,co_occurs_with,6
navigation_element,user,co_occurs_with,6
platform,unieasy,co_occurs_with,6
button,tablet,co_occurs_with,6
rating,review,co_occurs_with,6
rating,user,co_occurs_with,6
button,platform,co_occurs_with,6
input_field,user,co_occurs_with,6
action,platform,co_occurs_with,6
title,user,co_occurs_with,6
header,profile_button,co_occurs_with,6
logo,right_corner,co_occurs_with,6
left_corner,theme_toggle,co_occurs_with,6
right_side,user,co_occurs_with,6
bottom,right_side,co_occurs_with,6
admin,merchant,co_occurs_with,5
clerk,supabase,co_occurs_with,5
merchant,review,co_occurs_with,5
review,schema,co_occurs_with,5
schema,supabase,co_occurs_with,5
service,student,co_occurs_with,5
clerk,role,co_occurs_with,5
column_type_description,foreign_key,co_occurs_with,5
column_type_description,platform,co_occurs_with,5
foreign_key,primary_key,co_occurs_with,5
foreign_key,user,co_occurs_with,5
merchant,role,co_occurs_with,5
role,student,co_occurs_with,5
action,service,co_occurs_with,5
action,user,co_occurs_with,5
database,schema,co_occurs_with,5
database,supabase,co_occurs_with,5
login,user,co_occurs_with,5
accommodation,navigation_structure,co_occurs_with,5
card,filter,co_occurs_with,5
card,hero_section,co_occurs_with,5
card,student,co_occurs_with,5
card,theme_toggle,co_occurs_with,5
card,unieasy,co_occurs_with,5
card,usability,co_occurs_with,5
christ_university_central_campus,unieasy,co_occurs_with,5
christ_university_central_campus,user,co_occurs_with,5
consistency,platform,co_occurs_with,5
eating_place,food,co_occurs_with,5
event,food,co_occurs_with,5
event,student_essential,co_occurs_with,5
food,hero_section,co_occurs_with,5
food,student_essential,co_occurs_with,5
food,user,co_occurs_with,5
hero_section,logo,co_occurs_with,5
hero_section,profile_button,co_occurs_with,5
hero_section,search_bar,co_occurs_with,5
hero_section,theme_toggle,co_occurs_with,5
home_page,profile_button,co_occurs_with,5
